number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_params_decision_threshold,params_params_feature_fraction,params_params_resampling,params_params_sample_rows,params_params_scale_pos_weight,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_acc_test,user_attrs_acc_val,user_attrs_decision_threshold,user_attrs_f1_test,user_attrs_f1_val,user_attrs_feature_fraction,user_attrs_pr_auc_test,user_attrs_pr_auc_val,user_attrs_prec_test,user_attrs_prec_val,user_attrs_rec_test,user_attrs_rec_val,user_attrs_resampling_strategy,user_attrs_roc_auc_test,user_attrs_roc_auc_val,user_attrs_sample_rows,state
20,0.6265713581464136,2025-09-23 11:57:48.486559,2025-09-23 11:58:22.659535,0 days 00:00:34.172976,60.53082080079022,dart,0.8333800304661316,4.375872112626925,lossguide,22.420123713724433,0.0036905100721932025,10,8,8.663279761354557,700,forest,0.6914473368931056,0.5716766437045232,none,0.7307396811264659,3.1486803115634836,0.03551802909894347,weighted,0.07841636973138665,0.5067532150606222,0.8479885351622479,0.8449017199017199,0.6914473368931056,0.6394756008739986,0.6265713581464136,0.5716766437045232,0.7457215113913082,0.7409204497336,0.7394722066254913,0.7389534883720931,0.5633019674935843,0.543859649122807,none,0.890586667946764,0.8885900332985014,0.7307396811264659,COMPLETE
21,0.6101361785764425,2025-09-23 11:58:22.786720,2025-09-23 11:58:23.214410,0 days 00:00:00.427690,0.5079406641139773,gbtree,0.6935471974998055,5.684339488686485,depthwise,0.00012963993440545028,0.0730915536707506,3,5,2.3358825194833552,500,,0.47481278151973655,0.5644631488274267,undersample,0.5301127358146349,2.492305066047412,,,,0.6896765781779371,0.7108199406285188,0.7157043407043407,0.47481278151973655,0.6075843867203778,0.6101361785764425,0.5644631488274267,0.7031527732001664,0.6881782743215737,0.44990742645546183,0.4540325950689511,0.935414884516681,0.9298245614035088,undersample,0.8877286087609084,0.8862064728205237,0.5301127358146349,COMPLETE
22,0.7092893740253954,2025-09-23 11:58:23.331912,2025-09-23 11:58:53.209913,0 days 00:00:29.878001,0.8291821660947629,dart,0.573048618285045,2.088767560948347,depthwise,0.0009286607861420475,0.4528612698907591,1,7,0.202364548436489,700,tree,0.6351779629995216,0.8696317896991508,undersample,0.9882297325066979,0.6238330970396088,0.3281647947326367,weighted,0.12436465621375242,0.4026332820318257,0.8638550516941345,0.8664004914004914,0.6351779629995216,0.7062720848056537,0.7092893740253954,0.8696317896991508,0.8144049084689453,0.8106567416950223,0.7301369863013699,0.7397769516728625,0.6839178785286569,0.6812152332049636,undersample,0.9229024504770953,0.9211227676307954,0.9882297325066979,COMPLETE
23,0.5133928571428571,2025-09-23 11:58:53.326814,2025-09-23 11:58:58.145288,0 days 00:00:04.818474,1.4283436757818848,dart,0.4123115927515564,4.1426299451467,depthwise,0.00024259674980082617,0.0002748971713832693,6,5,0.8993930726120073,300,tree,0.3732765448028467,0.6350039865960824,none,0.5100537730937468,1.9296695294319153,0.46464809878810703,uniform,0.2867120572061913,0.6532811633652602,0.5484696488893438,0.5536445536445537,0.3732765448028467,0.5104871823327045,0.5133928571428571,0.6350039865960824,0.7622159306085395,0.7590367730784083,0.34467256106698635,0.3472746489506266,0.9837467921300257,0.9841677364142063,none,0.8933703905413695,0.8921363665966515,0.5100537730937468,COMPLETE
24,0.6551896207584831,2025-09-23 11:58:58.263990,2025-09-23 11:59:09.056311,0 days 00:00:10.792321,0.04816729655337448,dart,0.7595834202540035,2.230816326406183,lossguide,52.058789939770044,0.015486217163293382,4,8,5.209016311370383,400,tree,0.6824334538892896,0.8300867687463425,none,0.7119275242790899,2.2027246078483267,0.4405515985555808,uniform,0.5231455853722728,0.8771269379769022,0.8631384993346299,0.8585176085176085,0.6824334538892896,0.6693049715557754,0.6551896207584831,0.8300867687463425,0.802390618630874,0.793550490126282,0.7935483870967742,0.7857570317175344,0.5786997433704021,0.5618314077877621,none,0.9146381094434927,0.9127656079059568,0.7119275242790899,COMPLETE
25,0.0,2025-09-23 11:59:09.174148,2025-09-23 11:59:24.840757,0 days 00:00:15.666609,0.8302424198157791,dart,0.5451347483471791,5.908727612481732,depthwise,0.27922319558850817,0.0012686370088250765,4,4,5.127370874628437,500,tree,0.6995388026271465,0.9240041146611172,undersample,0.9340630286841072,0.7053721507221737,0.44596167750783605,uniform,0.7255745901414772,0.7216826160013512,0.7606715119254785,0.7607493857493858,0.6995388026271465,0.0,0.0,0.9240041146611172,0.752443494188292,0.7458266367208309,0.0,0.0,0.0,0.0,undersample,0.8894975491084848,0.8861912421261773,0.9340630286841072,COMPLETE
26,0.6373320981936081,2025-09-23 11:59:24.959017,2025-09-23 11:59:25.374966,0 days 00:00:00.415949,71.30648520760764,gbtree,0.2093712673480016,7.22055599470348,lossguide,15.786794495246708,0.037998645149514045,1,3,2.2941829510695264,500,,0.5084146424816517,0.6726758403484514,undersample,0.5999982624482001,0.566640996669681,,,,0.8846426739140889,0.8393899068481933,0.8396805896805897,0.5084146424816517,0.6439754935330156,0.6373320981936081,0.6726758403484514,0.71607533988623,0.715435882709148,0.6858385693571774,0.6945986875315497,0.606928999144568,0.5887890457851946,undersample,0.8832294750714269,0.8832160166787908,0.5999982624482001,COMPLETE
27,0.6581608088589311,2025-09-23 11:59:25.495358,2025-09-23 11:59:25.873905,0 days 00:00:00.378547,0.4828316556556039,gbtree,0.6719279810836568,2.3789282137450862,depthwise,40.298045932583044,0.019898941052492777,4,4,5.391204002783814,200,,0.38393749959004886,0.6271782408851965,none,0.9721861949919668,0.7676495686400058,,,,0.6285062424199667,0.8558706111167981,0.8546273546273546,0.38393749959004886,0.6652401331431289,0.6581608088589311,0.6271782408851965,0.7795984042773229,0.7710310827636742,0.7489293361884368,0.7523390203632361,0.5983746792130026,0.5849379546427044,none,0.9066233413558143,0.9039983998845575,0.9721861949919668,COMPLETE
28,0.6595044186449489,2025-09-23 11:59:25.990900,2025-09-23 11:59:39.695063,0 days 00:00:13.704163,1.1922206532486979,dart,0.6292633688869778,0.24678728391331228,lossguide,0.00025321987424989096,0.0024962766973491597,2,9,0.3457888877316665,400,forest,0.5353268454214423,0.592817972152976,none,0.8144909217955744,3.38858558926625,0.3315391015500504,weighted,0.23699013906343558,0.5629574756448363,0.7929163681031836,0.7988329238329238,0.5353268454214423,0.65318018172467,0.6595044186449489,0.592817972152976,0.7268567215169521,0.7224245867131811,0.5450643776824035,0.5541642399534071,0.8147989734816082,0.8142918271287976,none,0.8872368878944343,0.8900369780528862,0.8144909217955744,COMPLETE
29,0.6829514824797843,2025-09-23 11:59:39.815101,2025-09-23 11:59:41.881866,0 days 00:00:02.066765,0.000142552982584589,gbtree,0.5397483750012051,2.13311977367482,lossguide,0.1285891375725624,0.05051422644225127,3,12,0.5778630530599798,300,,0.5347137385832674,0.6980298514036469,oversample,0.5587659279810165,3.654480175121868,,,,0.36597606035288754,0.8043812058552564,0.8073300573300574,0.5347137385832674,0.6804882126734659,0.6829514824797843,0.6980298514036469,0.8044365281734731,0.7981773896823185,0.5586055448805929,0.5632120033342595,0.8704020530367835,0.8673513050919983,oversample,0.9138321776195001,0.9123263650459422,0.5587659279810165,COMPLETE
30,0.0,2025-09-23 11:59:42.000434,2025-09-23 11:59:42.374717,0 days 00:00:00.374283,26.44346965643744,gbtree,0.6417539759379253,7.653252538069653,lossguide,3.1044289096576936,0.002067287365844946,3,7,66.26677506544725,300,,0.3963315119661787,0.6408650528769746,none,0.508214814795737,0.6298888875108483,,,,0.26673794835361486,0.7606715119254785,0.7607493857493858,0.3963315119661787,0.0,0.0,0.6408650528769746,0.6218909848625302,0.61001566970232,0.0,0.0,0.0,0.0,none,0.8571472603555793,0.8555778631963487,0.508214814795737,COMPLETE
31,0.6734152007965483,2025-09-23 11:59:42.491486,2025-09-23 11:59:42.941704,0 days 00:00:00.450218,49.649277671767386,gbtree,0.8393620698819133,9.615701545414986,lossguide,0.0024558947958866163,0.17464920419235647,3,12,1.033896000966777,600,,0.6395774221251672,0.739185153519994,oversample,0.5066184288794497,2.074181212778646,,,,0.9531021637651989,0.7910738048930289,0.7985257985257985,0.6395774221251672,0.6674270816359785,0.6734152007965483,0.739185153519994,0.7739556905912379,0.7647161312940204,0.5390892340089497,0.5500135538086203,0.8759623609923011,0.8682071031236628,oversample,0.9074516058142669,0.9041600352684147,0.5066184288794497,COMPLETE
